남제관에 보일러 틀어주나요??? 아니면 매트 갖고가야되나요??,히터와 에어컨 빵빵해!
확진되면 대면 수업은 어떻게 할지에 대한 공지 아직 안 나온거죠?,확진되면... 대면 못 가고 대면 못 간 수업에 대해서 코로나 양성 결과문자 + 추후에 코로나 음성 결과문자를 교수님 메일로 보내면 출석 인정될꺼야!
화실1 책 사야되나요?일반화학 인가요?,화학실험 전용 교재가 있어!
저희 학교도 수강신청할 때 창 여러개 켜놓고 하나요..?,한번에 하나의 로그인만 허용!
수강신청 할 때 한 아이디로 동시접속해서 여러명이 도와줘도 돼? 그렇게 되는 학교도 있던데,한번에 하나의 로그인만 허용!
다른 컴퓨터에서 중복 로그인 하고 수강신청 안되나요?,한번에 하나의 로그인만 허용!
인문대 영역별 교양과목은 3개 영역에서 4개를 들어야 한다는데 한학기 기준인가요? 과는 사학과에요!,한번 요람에서 확인해 볼래요? 자세히 나와있어요! https://www.ajou.ac.kr/kr/bachelor/handbook2019.do
최대 19학점이여서 19학점 채웠으면 낼 수강정정 기간에 추가 못하는거야?? 추가하고 했던 거 삭제 못하나,"학점이 초과한다면, 하나를 내려놔야 새로 잡을 수 있어!"
정정 때 신청하려면 그 시간 비워나야하지??근데 나 어차피 못 잡을 것 같으니까 신청 해놓은 거 할게...,"학점이 초과한다면, 하나를 내려놔야 새로 잡을 수 있어!"
전 맥시멈이 19학점인데 현재 18학점 신청 해놨습니다내일 3학점짜리 신청을 하고 싶은데 신청하려면 제가 들고 있는걸 드랍해놔야만 신청이 가능한가요?(18학점에서 15인 상태에서만 가능한지 궁금해요..),"학점이 초과한다면, 하나를 내려놔야 새로 잡을 수 있어!"
수강정정도 수강신청이라 똑같이 함???,"학점이 초과한다면, 하나를 내려놔야 새로 잡을 수 있어!"
19학점 채워놓고 수강정정에서 새로운 과목 주울려면 무조건 한 과목 취소하고 잡아야 잡히나요?,"학점이 초과한다면, 하나를 내려놔야 새로 잡을 수 있어!"
아주대 정시 기숙사 떴다는데 어디서 확인할 수 있어..? 진짜 못 찾겠어서.. 20분헤맴 ㅠㅠ,학서서비스 > 학생생활신청 > 생활관 입사신청
학생증 출입등록 해야 한다는 소리가 있던데 어떻게 하는 건가요? 꼭 해야 하는 건가요??,학생증 출입등록을 하면 학교생활이 편해지지! https://idt.ajou.ac.kr/idt/user/idCard/apply/detail.do
학생증 체크카드로 신청하고 아주대학교점에서 수령하기로 했는데 언제가면됨?,학생증 수령날짜는 신청할 때 정할 수 있어
학생증 체크카드 말고 일반으로 하고 싶으면 어떻게 신청하라는 거야??,"학생증 발급 신청
https://idt.ajou.ac.kr/idt/user/idCard/apply/detail.do 여기서 확인해봐"
애드라 학생증 신청 끝났어…?어디서 확인해…?동의는 해놨는데 카드발급이랑 학생증 사진 어케바꾸는지 알려주라 ㅠㅠ,"학생증 발급 신청
https://idt.ajou.ac.kr/idt/user/idCard/apply/detail.d 여기서 확인해봐"
학생증 기본이랑 체크카드 뭐가 다른거??,학생증 기본은 체크카드 기능이 없어
학생식당 언제부터 열어?,학생식당은 10시~19시! 브레이크타임 확인하기!
학식 어디로 가서 먹는거아?,학생식당/교직원식당/다산관식당/팔달관식당
